Наименование;Остаток;КодТовара;Артикул;Производитель;Тип;Описание;Цена;ШтрихКод;Упаковка;СрокГодности;Марка;ТоварнаяКатегория;Товар;РейтингПродаж;Категория;ABV;IBU;Plato;СтильПива;UntappdRef;EBC;id_объекта
Zagovor Brewery "Planespotting Spot" (West Coast Pale Ale) алк. 5,5%/Плэйнспоттинг спот, ж/б  0,45л;50;00-00018117;PLANESPOTTING SPOT (ж/б 0,45л);Zagovor Brewery;Товар;;317;4670223012232;кор. 20х0,45л ж/б;365;Planespotting Spot;Planespotting Spot;Zagovor Brewery "Planespotting Spot" (West Coast Pale Ale) алк. 5,5%/Плэйнспоттинг спот, ж/б  0,45л;;Алкогольная продукция>Zagovor Brewery>Zagovor Brewery ж>б;5,50;55;;West Coast Pale Ale;6151172;;3427671a-e850-11ef-8221-000c29bc6f5e
Salden's "Grapefruit DIPA" (DIPA) алк, 7% / Грейпфрут Дабл Ипа, жб. 0,45л;9;00-00018166;GRAPEFRUIT DIPA (жб. 0,45л);Salden's;Товар;Двойной ИПА с цедрой грейпфрута.;296;4620085786116;кор. 20х0,45л ж/б;180;Grapefruit DIPA;Grapefruit DIPA;Salden's "Grapefruit DIPA" (DIPA) алк, 7% / Грейпфрут Дабл Ипа, жб. 0,45л;;Алкогольная продукция>Saldens>Salden's ж>б;7;120;18,50;Grapefruit DIPA;1806003;;d4cea6b2-e950-11ef-8221-000c29bc6f5e
Rewort Brewery "Crystal Method" (Dry Hopped Gose) алк. 5,7% / Кристал Метод , ж/б 0,45л;490;00-00018269;CRYSTAL METHOD (ж/б 0,45л);Rewort;Товар;Классический гозе - кристаллы соли и кориандра, "Denali" на сухом охмелении/;254;4670161154698;кор. 12х0,45л ж/б;365;Crystal Method;Crystal Method;Rewort Brewery "Crystal Method" (Dry Hopped Gose) алк. 5,7% / Кристал Метод , ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;5,70;35;16;Gose With Dry Hop;2899396;10;435ef52a-f40b-11ef-8222-000c29bc6f5e
Rewort Brewery "Crystal Method" (Dry Hopped Gose) алк. 5,7% / Кристал Метод , ж/б 0,45л;490;00-00018269;CRYSTAL METHOD (ж/б 0,45л);Rewort;Товар;Классический гозе - кристаллы соли и кориандра, "Denali" на сухом охмелении/;254;4670161155015;кор. 12х0,45л ж/б;365;Crystal Method;Crystal Method;Rewort Brewery "Crystal Method" (Dry Hopped Gose) алк. 5,7% / Кристал Метод , ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;5,70;35;16;Gose With Dry Hop;2899396;10;435ef52a-f40b-11ef-8222-000c29bc6f5e
White Stone "На районе" (India Pale Ale) алк. 6% / ВС ИПА 3, ж/б 0,45л;53;00-00022977;НА РАЙОНЕ (ж/б 0,45л);White Stone;Товар;;327;4640229753385;кор. 12х0,45л ж/б;365;На районе;На районе;White Stone "На районе" (India Pale Ale) алк. 6% / ВС ИПА 3, ж/б 0,45л;;Алкогольная продукция>White Stonе>White Stonе ж>б;6;73;;India Pale Ale;6781056;;967c2b26-85a6-11f1-9bc3-000c296fac54
White Stone "На районе" (India Pale Ale) алк. 6% / ВС ИПА 3, ж/б 0,45л;53;00-00022977;НА РАЙОНЕ (ж/б 0,45л);White Stone;Товар;;327;4640229753392;кор. 12х0,45л ж/б;365;На районе;На районе;White Stone "На районе" (India Pale Ale) алк. 6% / ВС ИПА 3, ж/б 0,45л;;Алкогольная продукция>White Stonе>White Stonе ж>б;6;73;;India Pale Ale;6781056;;967c2b26-85a6-11f1-9bc3-000c296fac54
Black Cat "ЯСНО КРАСНО" (Fruit Beer), алк. 6.9% / ЯСНО КРАСНО, ж/б 0,45л;76;00-00022987;ЯСНО КРАСНО (ж/б 0,45л);Black Cat;Товар;;327;4650300022880;кор. 12х0,45л ж/б;360;ЯСНО КРАСНО;ЯСНО КРАСНО;Black Cat "ЯСНО КРАСНО" (Fruit Beer), алк. 6.9% / ЯСНО КРАСНО, ж/б 0,45л;;Алкогольная продукция>Black Cat Brewery>Black Cat Brewery стекло > жб;6,90;;;Fruit Beer;6793401;;4aecf672-865d-11f1-9bc3-000c296fac54
Меда Сибири "Медовый Твист: Малина\кизил\можжевельник" (Mead) алк. 6% / Меломель №5, ж/б 0,45л;79;00-00022998;МЕДОВЫЙ ТВИСТ: МАЛИНА\КИЗИЛ\МОЖЖЕВЕЛЬН (ж/б 0,45л);Меда Сибири;Товар;;317;4660387591698;кор. 12х0,45л ж/б;365;Медовый Твист: Малина\кизил\можжевельник;Медовый Твист: Малина\кизил\можжевельник;Меда Сибири "Медовый Твист: Малина\кизил\можжевельник" (Mead) алк. 6% / Меломель №5, ж/б 0,45л;;Алкогольная продукция>Меда Сибири>Меда Сибири жб>бут;6;;;Mead - Melomel;6672726;;2ea28bc6-8a55-11f1-9bc3-000c296fac54
Red Rocket "SIEGE" (IPA - Farmhouse) алк. 6.5% /РЕД РОКЕТ КОРВЕН ж/б 0,45л;35;00-00023008;SIEGE (ж/б 0,45л);Red Rocket;Товар;;341;4640229932773;кор. 20х0,45л ж/б;360;SIEGE;SIEGE;Red Rocket "SIEGE" (IPA - Farmhouse) алк. 6.5% /РЕД РОКЕТ КОРВЕН ж/б 0,45л;;Алкогольная продукция>Red Rocket Brewery>Red Rocket ж>б;6,50;;;IPA - Farmhouse;6781321;;c2eaf582-8b40-11f1-9bc3-000c296fac54
Zavod "Hazelcore" (Milk Stout) алк.6% / Темное, ж/б  0,45л;10;00-00021123;HAZELCORE (ж/б 0,45л);Zavod Brewery;Товар;;317;4630250301204;кор. 20х0,45л ж/б;360;Hazelcore;Hazelcore;Zavod "Hazelcore" (Milk Stout) алк.6% / Темное, ж/б  0,45л;;Алкогольная продукция>Zavod Brewery>Zavod Brewery ж>б;6;20;;Milk Stout;6469941;;0d3b8030-c142-11f0-9bb2-000c296fac54
Zavod "Hazelcore" (Milk Stout) алк.6% / Темное, ж/б  0,45л;10;00-00021123;HAZELCORE (ж/б 0,45л);Zavod Brewery;Товар;;317;4630250301211;кор. 20х0,45л ж/б;360;Hazelcore;Hazelcore;Zavod "Hazelcore" (Milk Stout) алк.6% / Темное, ж/б  0,45л;;Алкогольная продукция>Zavod Brewery>Zavod Brewery ж>б;6;20;;Milk Stout;6469941;;0d3b8030-c142-11f0-9bb2-000c296fac54
Mister Bee "Classic" (Mead) алк. 5% / Мистер БИ, бут 0,45л;24;00-00021210;MISTER BEE CLASSIC (бут 0,45л);Cider House;Товар;;185;4680140431528;кор. 12х0,45л ст бут.;730;Mister Bee Classic;Mister Bee Classic;Mister Bee "Classic" (Mead) алк. 5% / Мистер БИ, бут 0,45л;;Алкогольная продукция>Cider House>Mister Bee бут;5;;;Mead;6348197;;d27e5bf8-c9cc-11f0-9bb2-000c296fac54
Mister Bee "Classic" (Mead) алк. 5% / Мистер БИ, бут 0,45л;24;00-00021210;MISTER BEE CLASSIC (бут 0,45л);Cider House;Товар;;185;4680140432174;кор. 12х0,45л ст бут.;730;Mister Bee Classic;Mister Bee Classic;Mister Bee "Classic" (Mead) алк. 5% / Мистер БИ, бут 0,45л;;Алкогольная продукция>Cider House>Mister Bee бут;5;;;Mead;6348197;;d27e5bf8-c9cc-11f0-9bb2-000c296fac54
Chibis "Alicante" (IPA) алк.5,6% / Аликанте, ж/б 0,45л;33;00-00021247;ALICANTE (ж/б 0,45л);CHIBIS Brewery;Товар;;306;4640233773171;кор. 06х0,45л ж/б;365;Alicante;Alicante;Chibis "Alicante" (IPA) алк.5,6% / Аликанте, ж/б 0,45л;;Алкогольная продукция>CHIBIS Brewery>CHIBIS Brewery стекло > жб;5,60;;;IPA;6500121;;2cfba086-cb9b-11f0-9bb2-000c296fac54
Chibis "Alicante" (IPA) алк.5,6% / Аликанте, ж/б 0,45л;33;00-00021247;ALICANTE (ж/б 0,45л);CHIBIS Brewery;Товар;;306;4640233773232;кор. 06х0,45л ж/б;365;Alicante;Alicante;Chibis "Alicante" (IPA) алк.5,6% / Аликанте, ж/б 0,45л;;Алкогольная продукция>CHIBIS Brewery>CHIBIS Brewery стекло > жб;5,60;;;IPA;6500121;;2cfba086-cb9b-11f0-9bb2-000c296fac54
Rewort Brewery "Новогодний огонёк" (Stout - Imperial) алк. 7,0% / ДАБЛ СТАУТ 5, ж/б 0,45л;1778;00-00021301;НОВОГОДНИЙ ОГОНЁК (ж/б 0,45л);Rewort;Товар;;264;4630522440549;кор. 12х0,45л ж/б;365;Новогодний огонёк;Новогодний огонёк;Rewort Brewery "Новогодний огонёк" (Stout - Imperial) алк. 7,0% / ДАБЛ СТАУТ 5, ж/б 0,45л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;7;20;21;Double Stout;6488334;80;257f47ac-d051-11f0-9bb2-000c296fac54
Rewort Brewery "Новогодний огонёк" (Stout - Imperial) алк. 7,0% / ДАБЛ СТАУТ 5, ж/б 0,45л;1778;00-00021301;НОВОГОДНИЙ ОГОНЁК (ж/б 0,45л);Rewort;Товар;;264;4670161159365;кор. 12х0,45л ж/б;365;Новогодний огонёк;Новогодний огонёк;Rewort Brewery "Новогодний огонёк" (Stout - Imperial) алк. 7,0% / ДАБЛ СТАУТ 5, ж/б 0,45л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;7;20;21;Double Stout;6488334;80;257f47ac-d051-11f0-9bb2-000c296fac54
Chibis "Карамбуляж" (DIPA), алк. 8,5% / Карамбуляж Дабл ИПА, ж/б 0,45л;24;00-00018747;КАРАМБУЛЯЖ (ж/б 0,45л);CHIBIS Brewery;Товар;;329;4640233771351;кор. 06х0,45л ж/б;365;Карамбуляж;Карамбуляж;Chibis "Карамбуляж" (DIPA), алк. 8,5% / Карамбуляж Дабл ИПА, ж/б 0,45л;;Алкогольная продукция>CHIBIS Brewery>CHIBIS Brewery стекло > жб;8,50;70;19;Double IPA;2301279;;f122c640-145c-11f0-822e-000c29bc6f5e
Chibis "Карамбуляж" (DIPA), алк. 8,5% / Карамбуляж Дабл ИПА, ж/б 0,45л;24;00-00018747;КАРАМБУЛЯЖ (ж/б 0,45л);CHIBIS Brewery;Товар;;329;4640233772464;кор. 06х0,45л ж/б;365;Карамбуляж;Карамбуляж;Chibis "Карамбуляж" (DIPA), алк. 8,5% / Карамбуляж Дабл ИПА, ж/б 0,45л;;Алкогольная продукция>CHIBIS Brewery>CHIBIS Brewery стекло > жб;8,50;70;19;Double IPA;2301279;;f122c640-145c-11f0-822e-000c29bc6f5e
Paradox “Chateau Rouge" (Fruit Beer) алк. 6,5% / Парадокс Ягодный 1, жб. 0,45л;12;00-00018822;CHATEAU ROUGE (жб. 0,45л);Paradox Brewery;Товар;;324;4610359540445;кор. 12х0,45л ж/б;365;Chateau Rouge;Chateau Rouge;Paradox “Chateau Rouge" (Fruit Beer) алк. 6,5% / Парадокс Ягодный 1, жб. 0,45л;;Алкогольная продукция>Paradox Brewery>Paradox Brewery стекло, ж>б;6,50;12;;Fruit Beer;6108787;;5ac79321-19c8-11f0-9ba9-000c296fac54
Salden's "Tomato Gose Mexican Ed." (Gose) алк, 5% / Томатный Гозе Мексика , жб. 0,45л;25;00-00018938;TOMATO GOSE MEXICAN ED.(жб. 0,45л);Salden's;Товар;;296;4620085785416;кор. 20х0,45л ж/б;180;Tomato Gose Mexican Edition;Tomato Gose Mexican Edition;Salden's "Tomato Gose Mexican Ed." (Gose) алк, 5% / Томатный Гозе Мексика , жб. 0,45л;;Алкогольная продукция>Saldens>Salden's ж>б;5;;;Gose;4507931;;de56ef0a-1f68-11f0-9baa-000c296fac54
Zagovor Brewery "Recovery Pils" (New Zealand Pilsner) алк. 4,5%/ Рекавери Пилс, ж/б 0,45л;18;00-00019043;RECOVERY PILS (ж/б 0,45л);Zagovor Brewery;Товар;;280;4670223012775;кор. 20х0,45л ж/б;365;Recovery Pils;Recovery Pils;Zagovor Brewery "Recovery Pils" (New Zealand Pilsner) алк. 4,5%/ Рекавери Пилс, ж/б 0,45л;;Алкогольная продукция>Zagovor Brewery>Zagovor Brewery ж>б;4,50;30;;New Zealand Pilsner;5955289;;a8131108-24f6-11f0-9bab-000c296fac54
Ability “Cloud City Myths” (New England IPA) алк. 7% / Абилити 18, пэт кег 20л/шт;17;00-00020649;CLOUD CITY MYTHS (пэт кег 20л/шт);Ability;Товар;;0;4670161159549;пэт кег 20л/шт;365;Cloud City Myths;Cloud City Myths;Ability “Cloud City Myths” (New England IPA) алк. 7% / Абилити 18, пэт кег 20л/шт;;Алкогольная продукция>SVOI (Сергиев Посад)>Ability кег;7;;;New England IPA;6447037;;d608e2b6-97c1-11f0-9bb0-000c296fac54
White Stone "Экземпляр №1/Nectaron" (NE IPA) алк. 6,4% / ВС НЕИПА Сингл 1, ж/б 0,45л;41;00-00020696;ЭКЗЕМПЛЯР №1/NECTARON (ж/б 0,45л);White Stone;Товар;;354;4640229751794;кор. 12х0,45л ж/б;365;Экземпляр №1 / Nectaron;Экземпляр №1 / Nectaron;White Stone "Экземпляр №1/Nectaron" (NE IPA) алк. 6,4% / ВС НЕИПА Сингл 1, ж/б 0,45л;;Алкогольная продукция>White Stonе>White Stonе ж>б;6,40;30;;NE IPA;6390277;;f9faa8e2-9ad5-11f0-9bb0-000c296fac54
White Stone "Экземпляр №1/Nectaron" (NE IPA) алк. 6,4% / ВС НЕИПА Сингл 1, ж/б 0,45л;41;00-00020696;ЭКЗЕМПЛЯР №1/NECTARON (ж/б 0,45л);White Stone;Товар;;354;4640229752739;кор. 12х0,45л ж/б;365;Экземпляр №1 / Nectaron;Экземпляр №1 / Nectaron;White Stone "Экземпляр №1/Nectaron" (NE IPA) алк. 6,4% / ВС НЕИПА Сингл 1, ж/б 0,45л;;Алкогольная продукция>White Stonе>White Stonе ж>б;6,40;30;;NE IPA;6390277;;f9faa8e2-9ad5-11f0-9bb0-000c296fac54
HopHead "Cherry Head" (Fruited Sour Ale) алк 7% / Хопхэд эль "Чери хэд, ж/б 0,45л;30;00-00020775;CHERRY HEAD (ж/б 0,45л);HopHead;Товар;;340;4620402492393;кор. 20х0,45л ж/б;360;Cherry Head;Cherry Head;HopHead "Cherry Head" (Fruited Sour Ale) алк 7% / Хопхэд эль "Чери хэд, ж/б 0,45л;;Алкогольная продукция>HopHead>HopHead ж>б;7;2;;Fruited Sour Ale;6089585;;94d09c0d-a29e-11f0-9bb0-000c296fac54
Сider House "Double Tree Golden Apple Special Edition Dry"(Dry Cider)алк.5,6% / Дабл Три , бут 0,45л;66;00-00020845;DOUBLE TREE GOLDEN APPLE SPECIAL EDITIO(бут 0,45л);Cider House;Товар;;180;4680140431467;кор. 12х0,45л ст бут.;730;Double Tree Golden Apple Special Edition Dry;Double Tree Golden Apple Special Edition Dry;Сider House "Double Tree Golden Apple Special Edition Dry"(Dry Cider)алк.5,6% / Дабл Три , бут 0,45л;;Алкогольная продукция>Cider House>Double Tree бут;5,60;;;Dry Cider;6357753;;0e137883-a9bc-11f0-9bb1-000c296fac54
Сider House "Double Tree Golden Apple Special Edition Dry"(Dry Cider)алк.5,6% / Дабл Три , бут 0,45л;66;00-00020845;DOUBLE TREE GOLDEN APPLE SPECIAL EDITIO(бут 0,45л);Cider House;Товар;;180;4680140431849;кор. 12х0,45л ст бут.;730;Double Tree Golden Apple Special Edition Dry;Double Tree Golden Apple Special Edition Dry;Сider House "Double Tree Golden Apple Special Edition Dry"(Dry Cider)алк.5,6% / Дабл Три , бут 0,45л;;Алкогольная продукция>Cider House>Double Tree бут;5,60;;;Dry Cider;6357753;;0e137883-a9bc-11f0-9bb1-000c296fac54
Salden's "Tomato Gose Chili Extra Hot Ed." (Gose) алк, 5,0% / Томатный Гозе С.О., жб. 0,45л;22;00-00018385;TOMATO GOSE CHILI EXTRA HOT ED. (жб. 0,45л);Salden's;Товар;;296;4620085786048;кор. 20х0,45л ж/б;180;Tomato Gose Chili Extra Hot Ed.;Tomato Gose Chili Extra Hot Ed.;Salden's "Tomato Gose Chili Extra Hot Ed." (Gose) алк, 5,0% / Томатный Гозе С.О., жб. 0,45л;;Алкогольная продукция>Saldens>Salden's ж>б;5;;15;Gose;2579285;;cd9c30e3-fa7b-11ef-8224-000c29bc6f5e
Rewort Brewery "Hugo C.(Colors of Venezuela)" (Milkshake IPA) алк.6,9%/Колорс Оф Венесуэла,ж/б 0,45л;1469;00-00018430;HUGO C. (COLORS OF VENEZUELA) (ж/б 0,45л);Rewort;Товар;;275;4670161154438;кор. 12х0,45л ж/б;365;Hugo C. (Colors Of Venezuela);Hugo C. (Colors Of Venezuela);Rewort Brewery "Hugo C.(Colors of Venezuela)" (Milkshake IPA) алк.6,9%/Колорс Оф Венесуэла,ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;6,90;40;18;Milkshake IPA;2575300;18;3d7d3b70-fb4f-11ef-8224-000c29bc6f5e
Rewort Brewery "Hugo C.(Colors of Venezuela)" (Milkshake IPA) алк.6,9%/Колорс Оф Венесуэла,ж/б 0,45л;1469;00-00018430;HUGO C. (COLORS OF VENEZUELA) (ж/б 0,45л);Rewort;Товар;;275;4670161155008;кор. 12х0,45л ж/б;365;Hugo C. (Colors Of Venezuela);Hugo C. (Colors Of Venezuela);Rewort Brewery "Hugo C.(Colors of Venezuela)" (Milkshake IPA) алк.6,9%/Колорс Оф Венесуэла,ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;6,90;40;18;Milkshake IPA;2575300;18;3d7d3b70-fb4f-11ef-8224-000c29bc6f5e
Rewort Brewery “Cowabunga” (Tomato Gose) алк. 6% / Ковабунга, ж/б 0,45л;159;00-00018464;COWABUNGA (ж/б 0,45л);Rewort;Товар;;248;4670161157002;кор. 12х0,45л ж/б;365;Cowabunga;Cowabunga;Rewort Brewery “Cowabunga” (Tomato Gose) алк. 6% / Ковабунга, ж/б 0,45л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;6;;20;Tomato Gose;6143081;40;2b07a5c4-fe84-11ef-8224-000c29bc6f5e
Rewort Brewery “Cowabunga” (Tomato Gose) алк. 6% / Ковабунга, ж/б 0,45л;159;00-00018464;COWABUNGA (ж/б 0,45л);Rewort;Товар;;248;4670161157330;кор. 12х0,45л ж/б;365;Cowabunga;Cowabunga;Rewort Brewery “Cowabunga” (Tomato Gose) алк. 6% / Ковабунга, ж/б 0,45л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;6;;20;Tomato Gose;6143081;40;2b07a5c4-fe84-11ef-8224-000c29bc6f5e
WS Brew "Юность" (Kellerbier) алк. 4.5% / ВС Юность, пэт кег 20л;40;00-00018508;ЮНОСТЬ (пэт кег 20л);WS Brew;Товар;;306;4640229751138;пэт кег 20л;365;Юность;Юность;WS Brew "Юность" (Kellerbier) алк. 4.5% / ВС Юность, пэт кег 20л;;Алкогольная продукция>White Stonе>WS Brew кег;4,50;12;;Kellerbier;5029992;;ce8cc6c6-03d0-11f0-8227-000c29bc6f5e
Sabotage "Tommates" (Gose),алк. 6% / САБОТАЖ Том-мэйтс, ж/б 0,45;25;00-00022238;TOMMATES (ж/б 0,45л);Sabotage Brewery;Товар;;353;4620235853675;кор. 20х0,45л ж/б;365;Tommates;Tommates;Sabotage "Tommates" (Gose),алк. 6% / САБОТАЖ Том-мэйтс, ж/б 0,45;;Алкогольная продукция>Sabotage Brewery>Sabotage ж>б;6;;;Gose;5543658;;189d25d2-4784-11f1-9bbc-000c296fac54
Selfmade "Shroomdalf Allspice & Bay Leaf" (Gose) алк. 5% / СБ Шрумдальф 3, ж/б 0,45л;17;00-00022253;SHROOMDALF ALLSPICE & BAY LEAF (ж/б 0,45л);Selfmade;Товар;;307;4640235994536;кор. 12х0,45л ж/б;363;Shroomdalf Allspice & Bay Leaf;Shroomdalf Allspice & Bay Leaf;Selfmade "Shroomdalf Allspice & Bay Leaf" (Gose) алк. 5% / СБ Шрумдальф 3, ж/б 0,45л;;Алкогольная продукция>Selfmade>Selfmade ж>б;5;8;;Gose;5650385;;86d39480-488e-11f1-9bbc-000c296fac54
Mister Bee "Plum" (Mead) алк. 5% / Мистер БИ, пэт кег 30л;90;00-00022283;MISTER BEE PLUM (пэт кег 30л);Cider House;Товар;;217;4680140431696;пэт кег 30л;540;Mister Bee Plum;Mister Bee Plum;Mister Bee "Plum" (Mead) алк. 5% / Мистер БИ, пэт кег 30л;;Алкогольная продукция>Cider House>Mister Bee кег;5;;;Mead;6349222;;422e3e15-4e0b-11f1-9bbe-000c296fac54
Plan B "Steppe Strider" (American IPA) алк. 8% / План Б светлое-7, ж/б 0,45л;39;00-00022322;STEPPE STRIDER (ж/б 0,45л);Plan B;Товар;;322;4650139081096;кор. 12х0,45л ж/б;180;Steppe Strider;Steppe Strider;Plan B "Steppe Strider" (American IPA) алк. 8% / План Б светлое-7, ж/б 0,45л;;Алкогольная продукция>Plan B Brewery>Plan B ж>б;8;80;;American IPA;6709617;;4b102be9-4f85-11f1-9bbe-000c296fac54
Chibis "Кислотный заряд Nelson Sauvin" (Sour IPA), алк. 6,2% / Кислотный заряд нельсон, ж/б 0,45л;34;00-00022485;КИСЛОТНЫЙ ЗАРЯД NELSON SAUVIN (ж/б 0,45л);CHIBIS Brewery;Товар;;343;4640233774147;кор. 06х0,45л ж/б;365;Кислотный заряд Nelson Sauvin;Кислотный заряд Nelson Sauvin;Chibis "Кислотный заряд Nelson Sauvin" (Sour IPA), алк. 6,2% / Кислотный заряд нельсон, ж/б 0,45л;;Алкогольная продукция>CHIBIS Brewery>CHIBIS Brewery стекло > жб;6,20;;;Sour IPA;6691772;;69bd96d9-5fe7-11f1-9bbe-000c296fac54
Chibis "Кислотный заряд Nelson Sauvin" (Sour IPA), алк. 6,2% / Кислотный заряд нельсон, ж/б 0,45л;34;00-00022485;КИСЛОТНЫЙ ЗАРЯД NELSON SAUVIN (ж/б 0,45л);CHIBIS Brewery;Товар;;343;4640233774215;кор. 06х0,45л ж/б;365;Кислотный заряд Nelson Sauvin;Кислотный заряд Nelson Sauvin;Chibis "Кислотный заряд Nelson Sauvin" (Sour IPA), алк. 6,2% / Кислотный заряд нельсон, ж/б 0,45л;;Алкогольная продукция>CHIBIS Brewery>CHIBIS Brewery стекло > жб;6,20;;;Sour IPA;6691772;;69bd96d9-5fe7-11f1-9bbe-000c296fac54
Rewort Brewery "Ля Томатина Острая" (Tomato Gose), алк. 6,5% / ТОМАТНОЕ 7, ж/б 0,45л;845;00-00022502;ЛЯ ТОМАТИНА ОСТРАЯ (ж/б 0,45л);Rewort;Товар;;275;4630522441102;кор. 12х0,45л ж/б;365;Ля Томатина Острая;Ля Томатина Острая;Rewort Brewery "Ля Томатина Острая" (Tomato Gose), алк. 6,5% / ТОМАТНОЕ 7, ж/б 0,45л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;6,50;21;;Tomato Gose;6576170;;82a84056-60dd-11f1-9bbe-000c296fac54
Rewort Brewery "Ля Томатина Острая" (Tomato Gose), алк. 6,5% / ТОМАТНОЕ 7, ж/б 0,45л;845;00-00022502;ЛЯ ТОМАТИНА ОСТРАЯ (ж/б 0,45л);Rewort;Товар;;275;4670161159952;кор. 12х0,45л ж/б;365;Ля Томатина Острая;Ля Томатина Острая;Rewort Brewery "Ля Томатина Острая" (Tomato Gose), алк. 6,5% / ТОМАТНОЕ 7, ж/б 0,45л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;6,50;21;;Tomato Gose;6576170;;82a84056-60dd-11f1-9bbe-000c296fac54
Nuclear Brewery "Совместн опыт: Саур с малин и шалф"(Sour Ale)алк4.5%/Совместный опыт 1,ж/б 0,45л;25;00-00022533;СОВМЕСТН ОПЫТ: САУР С МАЛИН И ШАЛФ (ж/б 0,45л);Nuclear Brewery;Товар;;317;4620313032381;кор. 12х0,45л ж/б;365;Совместн опыт: Саур с малин и шалф;Совместн опыт: Саур с малин и шалф;Nuclear Brewery "Совместн опыт: Саур с малин и шалф"(Sour Ale)алк4.5%/Совместный опыт 1,ж/б 0,45л;;Алкогольная продукция>Nuclear Brewery;4,50;;;Sour Ale;6717830;;51629f39-63d9-11f1-9bbe-000c296fac54
Лимонад Aloha Виноград Киви (Lemonade) / АЛОХА 4, бут. 0,33л;21;00-00020885;ЛИМОНАД ALOHA ВИНОГРАД КИВИ (бут. 0,33л);Aloha;Товар;;175;4670161154766;кор. 12х0,33л ст. бут.;365;Лимонад Виноград Киви;Лимонад Aloha Виноград Киви;Лимонад Aloha Виноград Киви (Lemonade) / АЛОХА 4, бут. 0,33л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Aloha;;;;Lemonade;;;dae2df6c-ae7e-11f0-9bb1-000c296fac54
Лимонад Aloha Виноград Киви (Lemonade) / АЛОХА 4, бут. 0,33л;21;00-00020885;ЛИМОНАД ALOHA ВИНОГРАД КИВИ (бут. 0,33л);Aloha;Товар;;175;4670161159327;кор. 12х0,33л ст. бут.;365;Лимонад Виноград Киви;Лимонад Aloha Виноград Киви;Лимонад Aloha Виноград Киви (Lemonade) / АЛОХА 4, бут. 0,33л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Aloha;;;;Lemonade;;;dae2df6c-ae7e-11f0-9bb1-000c296fac54
Rewort Brewery "Maple Brunch" (Double Porter) алк. 6,9% / МЭЙПЛ БРАНЧ, ж/б 0,45л;124;00-00020916;MAPLE BRUNCH (ж/б 0,45л);Rewort;Товар;Двойной портер с добавлением кленового сиропа. Темное пиво умеренной плотности с выраженными оттенками жженых солодов, сливочным вкусом и легкой горечью, сбалансированной сладкими нотами кленового сиропа.;264;4670161154377;кор. 12х0,45л ж/б;365;Maple Brunch;Maple Brunch;Rewort Brewery "Maple Brunch" (Double Porter) алк. 6,9% / МЭЙПЛ БРАНЧ, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;6,90;33;20;Maple Syrup Infused Double Porter;3263563;137;3fbed982-afe9-11f0-9bb1-000c296fac54
Rewort Brewery "Maple Brunch" (Double Porter) алк. 6,9% / МЭЙПЛ БРАНЧ, ж/б 0,45л;124;00-00020916;MAPLE BRUNCH (ж/б 0,45л);Rewort;Товар;Двойной портер с добавлением кленового сиропа. Темное пиво умеренной плотности с выраженными оттенками жженых солодов, сливочным вкусом и легкой горечью, сбалансированной сладкими нотами кленового сиропа.;264;4670161155268;кор. 12х0,45л ж/б;365;Maple Brunch;Maple Brunch;Rewort Brewery "Maple Brunch" (Double Porter) алк. 6,9% / МЭЙПЛ БРАНЧ, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;6,90;33;20;Maple Syrup Infused Double Porter;3263563;137;3fbed982-afe9-11f0-9bb1-000c296fac54
Rewort Brewery “Jack L.” (Double Stout) алк. 8,5% / ДЖЕК Л, ж/б 0,45л;175;00-00021003;JACK L. (ж/б 0,45л);Rewort;Товар;;264;4670161154605;кор. 12х0,45л ж/б;365;Jack L.;Jack L.;Rewort Brewery “Jack L.” (Double Stout) алк. 8,5% / ДЖЕК Л, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;8,50;25;18,50;Double Stout;5855030;;f1cbb049-b58b-11f0-9bb2-000c296fac54
